age,sex,sourceIncome,income,rate,expectedSum,period,goal,expectedResult,caseName
17,F,worker,1000000,0,100000,1,auto,False,age<18
60,F,worker,1000000,0,100000,1,auto,False,retirement age F 60
65,M,worker,1000000,0,100000,1,auto,False,retirement age M 65
61,F,worker,1000000,0,100000,1,auto,False,retirement age F 61
66,M,worker,1000000,0,100000,1,auto,False,retirement age M 65
60,F,worker,2000000,1,1000000,2,businessdev,False,not retire for M but retire for F
27,F,unemployed,350000,0,250000,1,personal,False,unemployed
31,M,worker,1600000,-2,400000,2,personal,False,rate=-2
30,F,worker,1000000,0,3100000,3,hypothec,False,expextedSum/period more than 1/3 of income
40,F,passive,2000000,-1,1100000,2,hypothec,False,passive and rate=-1 (max credit sum = 1)
40,M,worker,5000000,0,5100000,5,hypothec,False,worker and rate=0, expSum>5 (max credit sum = 5)
36,M,worker,1000000,2,7000000,7,personal,False,different incomeSource and rate:ask more than possible
35,F,worker,1000000,-1,5000000,10,personal,False,annual sum>0*5income